Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
11,laisser,let
14,laisse,leash
15,eux,them
18,parlé,speak
19,arrivé,come
20,devrait,should
22,longtemps,long time
23,heures,hours
26,revoir,meet again
28,place,square
29,parle,speak
30,compris,understood
31,savais,knew
33,attention,Warning
34,voici,here is
36,affaire,case
37,donner,give
38,type,type
40,donné,given
41,train,train
43,endroit,place
44,yeux,eyes
45,façon,way
46,écoute,listen
48,premier,first
49,perdu,lost
50,main,hand
51,première,first
55,sois,be
56,tiens,here
57,matin,morning
58,tellement,so much
59,enfant,child
60,point,point
61,venu,came
63,pardon,sorry
64,venez,come
65,devant,in front of
66,vers,towards
68,demandé,request
69,chambre,bedroom
70,mis,placed
71,belle,beautiful
72,droit,law
73,aujourd'hui,today
75,cause,cause
76,enfin,finally
77,espère,hope
78,eau,water
79,attendez,Wait
81,nouvelle,new
84,dirait,would say
86,compte,account
87,donne,given
88,loin,far
89,fin,end
91,gros,large
93,aura,will have
94,filles,girls
